Production_budget_m,Domestic_gross_m,Worldwide_gross_m,Budget_Level
87.5,154.69608,333.13275,High
87.0,165.092266,350.10028,High
86.0,120.277854,148.715342,High
85.9,103.368602,238.875556,High
85.0,233.632142,427.230516,High
85.0,198.000317,385.000315,High
85.0,183.41715,450.728529,High
85.0,176.08745,311.001124,High
85.0,172.956409,315.268353,High
85.0,162.79099,404.655292,High
85.0,155.064265,359.347833,High
85.0,151.040048,280.902658,High
85.0,150.947895,276.014965,High
85.0,148.313048,378.119469,High
85.0,140.371656,363.563907,High
85.0,127.706877,340.384141,High
85.0,126.18163,207.884401,High
85.0,117.144465,311.744465,High
85.0,111.549836,250.649836,High
85.0,85.105259,191.932158,High
85.0,78.04657,150.422946,High
85.0,66.941559,66.941559,High
85.0,64.935167,173.613482,High
85.0,63.28,204.920447,High
85.0,62.61551,157.794205,High
85.0,57.010853,161.510853,High
85.0,51.396781,96.971293,High
85.0,50.016394,137.298489,High
85.0,47.641743,80.831893,High
85.0,46.462469,147.865565,High
85.0,44.898413,345.033359,High
85.0,44.650003,44.650003,High
85.0,43.585753,113.026383,High
85.0,40.048332,78.353508,High
85.0,37.948765,78.948765,High
85.0,34.687912,113.487912,High
85.0,33.080084,83.080084,High
85.0,31.11126,74.120792,High
84.0,174.340174,431.548346,High
84.0,153.294164,276.294164,High
84.0,123.307945,166.307945,High
84.0,53.26256,141.507355,High
82.5,137.355633,237.685089,High
82.5,80.172128,222.640812,High
82.5,75.986503,160.388063,High
82.0,158.11946,191.558505,High
82.0,103.068524,268.268174,High
82.0,34.543701,96.024898,High
81.0,242.704995,484.468608,High
80.0,408.010692,677.923379,High
80.0,369.69521,940.270567,High
80.0,254.464305,586.764305,High
80.0,180.981886,457.697994,High
80.0,175.750384,310.563096,High
80.0,169.70011,469.747882,High
80.0,162.833635,266.824291,High
80.0,158.874395,446.109612,High
80.0,155.385488,416.385488,High
80.0,155.01934,343.397247,High
80.0,145.771527,245.799997,High
80.0,140.464664,349.464664,High
80.0,133.668525,247.023808,High
80.0,133.107389,349.088523,High
80.0,130.319208,226.739416,High
80.0,128.200012,260.636271,High
80.0,128.012934,299.461782,High
80.0,124.685242,266.685242,High
80.0,120.14604,168.311558,High
80.0,112.276146,241.199984,High
80.0,110.101975,221.468935,High
80.0,104.054514,183.354514,High
80.0,102.543518,182.782518,High
80.0,101.440743,180.585259,High
80.0,101.117573,224.117573,High
80.0,100.246011,204.77469,High
80.0,95.632614,165.173909,High
80.0,94.835059,158.750817,High
80.0,92.993801,177.993801,High
80.0,91.188905,180.188905,High
80.0,90.463534,250.180384,High
80.0,85.817906,210.315681,High
80.0,83.240103,214.244195,High
80.0,82.226474,158.926474,High
80.0,80.360866,170.805525,High
80.0,79.366978,237.37035,High
80.0,76.11899,142.783718,High
80.0,73.21531,106.51531,High
80.0,69.772969,147.080413,High
80.0,65.948711,96.135872,High
80.0,63.313159,131.159306,High
80.0,59.908565,100.378271,High
80.0,56.684819,98.98359,High
80.0,55.485043,71.485043,High
80.0,50.632037,50.632037,High
80.0,50.18837,135.40628,High
80.0,45.575336,141.475336,High
80.0,39.442871,58.270391,High
80.0,38.577772,119.66835,High
80.0,38.311134,98.341932,High
80.0,37.899638,105.299638,High
80.0,37.771017,101.371017,High
80.0,37.384046,99.010667,High
80.0,34.566746,66.554547,High
80.0,32.90829,158.90829,High
80.0,27.36766,130.818912,High
80.0,23.169033,108.469033,High
80.0,20.95082,54.540662,High
80.0,19.676965,56.984219,High
80.0,19.480739,26.703184,High
80.0,18.31986,69.13186,High
80.0,17.650704,20.841123,High
80.0,17.48089,33.463969,High
80.0,15.074191,40.147042,High
80.0,14.947969,29.400826,High
80.0,1.900451,6.300451,High
79.3,421.785283,986.193783,High
79.0,103.86029,318.146162,High
79.0,74.158157,150.519217,High
78.0,170.708996,317.668058,High
78.0,119.793567,274.392649,High
78.0,92.95542,206.45542,High
78.0,67.286731,108.086731,High
78.0,66.465204,179.265204,High
78.0,41.814863,43.957541,High
77.5,1.311213,102.028919,High
77.0,102.084362,190.376181,High
76.0,368.065385,975.216835,High
76.0,127.120058,236.410607,High
76.0,35.552383,69.845011,High
76.0,26.00061,35.12961,High
75.0,368.38433,885.3025,High
75.0,306.169255,817.400878,High
75.0,270.329045,631.064182,High
75.0,264.6243,1032.809657,High
75.0,229.086679,618.638999,High
75.0,195.330621,651.899282,High
75.0,193.595521,556.559566,High
75.0,162.001186,272.22242,High
75.0,161.412,371.741123,High
75.0,157.299717,296.872367,High
75.0,134.508551,342.41646,High
75.0,134.069511,336.069511,High
75.0,129.360575,203.614138,High
75.0,120.776832,196.320329,High
75.0,118.871849,202.822861,High
75.0,117.723989,342.7692,High
75.0,103.365956,155.62035,High
75.0,99.215042,197.744377,High
75.0,97.387965,97.387965,High
75.0,83.504017,211.562435,High
75.0,77.073959,218.673959,High
75.0,75.976178,221.593554,High
75.0,73.86553,162.759437,High
75.0,73.66101,141.26737,High
75.0,68.47336,213.5,High
75.0,64.062587,73.521587,High
75.0,60.76139,188.668688,High
75.0,55.849401,94.944017,High
75.0,53.809574,147.474138,High
75.0,47.37909,131.492772,High
75.0,47.059963,95.572749,High
75.0,43.632458,85.632458,High
75.0,42.285169,72.785169,High
75.0,42.044321,54.344321,High
75.0,41.523271,71.523271,High
75.0,39.251128,39.251128,High
75.0,37.361412,127.361412,High
75.0,36.392502,89.758389,High
75.0,34.636443,77.636443,High
75.0,34.636443,77.636443,High
75.0,34.343574,219.519367,High
75.0,30.207785,50.409753,High
75.0,22.751979,36.751979,High
75.0,21.00918,34.00918,High
75.0,14.623082,14.623082,High
75.0,14.623082,14.623082,High
75.0,14.570455,18.902798,High
75.0,14.01069,30.62669,High
75.0,5.409517,5.409517,High
74.0,336.04577,1157.271759,High
74.0,162.994032,311.013181,High
74.0,105.344029,182.92199,High
73.243106,94.999143,248.099143,High
73.0,148.213377,162.870525,High
73.0,107.509366,352.288341,High
73.0,55.591409,103.891409,High
73.0,37.068294,50.168294,High
72.5,183.135014,527.071022,High
72.5,51.855045,71.880305,High
72.5,47.46725,86.802457,High
72.0,112.950721,176.101721,High
72.0,75.545647,209.045244,High
72.0,62.64754,96.94754,High
72.0,32.616869,54.616869,High
72.0,27.796042,37.306334,High
72.0,19.176754,62.176754,High
71.682975,114.19752,257.641634,High
71.5,144.156605,294.156605,High
70.702619,227.969295,408.250578,High
70.0,441.226247,935.253978,High
70.0,244.082982,461.630558,High
70.0,219.614612,443.483213,High
70.0,152.257509,310.138178,High
70.0,141.93,267.2,High
70.0,136.492681,308.7,High
70.0,120.774594,316.802281,High
70.0,119.654823,300.854823,High
70.0,117.323878,239.813888,High
70.0,116.877597,207.154748,High
70.0,101.06834,207.06834,High
70.0,100.614858,202.726605,High
70.0,99.112101,250.7,High
70.0,98.927592,172.878928,High
70.0,97.23363,250.648674,High
70.0,79.883359,156.815529,High
70.0,78.120196,114.658262,High
70.0,78.03162,158.702748,High
70.0,72.679278,183.353431,High
70.0,70.187658,117.8,High
70.0,66.432867,123.954323,High
70.0,65.011757,131.011757,High
70.0,62.321039,160.37993,High
70.0,59.281555,122.737201,High
70.0,55.99188,220.241723,High
70.0,55.011732,94.97354,High
70.0,55.011732,94.97354,High
70.0,54.243125,54.243441,High
70.0,48.47529,70.546865,High
70.0,40.934175,116.625798,High
70.0,38.634938,137.022245,High
70.0,38.518613,61.031932,High
70.0,37.945884,131.445884,High
70.0,37.76008,49.730854,High
70.0,36.793804,69.792704,High
70.0,33.561137,60.279822,High
70.0,30.157016,69.157016,High
70.0,28.212337,58.757178,High
70.0,27.569558,49.252761,High
70.0,25.135965,103.735965,High
70.0,25.124986,65.409046,High
70.0,19.870567,19.870567,High
70.0,19.076815,33.076815,High
70.0,18.990542,25.852508,High
70.0,18.848538,58.953319,High
70.0,18.211013,73.5915,High
70.0,14.294842,14.294842,High
70.0,13.596911,13.596911,High
70.0,8.00598,19.665004,High
70.0,5.946136,35.417162,High
69.0,251.513985,543.464573,High
69.0,73.026337,86.796502,High
69.0,46.874505,145.951861,High
68.0,300.531751,706.102828,High
68.0,123.27708,171.172007,High
68.0,118.47132,193.5,High
68.0,81.476385,217.214143,High
68.0,71.069884,113.542091,High
68.0,45.060734,87.173475,High
68.0,35.324232,77.224232,High
68.0,33.685268,75.685268,High
68.0,29.762011,33.462011,High
68.0,28.965197,60.265197,High
68.0,24.449754,54.462971,High
67.972729,3.900193,15.449322,High
67.5,39.394666,118.55653,High
67.5,37.519139,137.48973,High
67.0,23.855569,44.608247,High
67.0,18.115927,18.149997,High
67.0,5.93206,25.357771,High
66.0,87.707396,211.7,High
66.0,50.701325,113.461527,High
66.0,43.568507,194.169619,High
65.0,216.335085,485.035085,High
65.0,182.805123,374.105123,High
65.0,182.207973,273.346281,High
65.0,176.387405,386.116343,High
65.0,173.993387,465.974198,High
65.0,173.772767,335.802271,High
65.0,167.500092,527.706567,High
65.0,139.225854,172.844592,High
65.0,119.394839,261.39983,High
65.0,115.637895,163.527824,High
65.0,100.539043,211.739043,High
65.0,100.468793,128.107642,High
65.0,100.45831,262.75831,High
65.0,93.828745,233.7,High
65.0,90.454043,128.874043,High
65.0,85.911262,139.829625,High
65.0,84.049211,255.0,High
65.0,70.645997,148.345997,High
65.0,70.278893,163.295654,High
65.0,69.688384,69.688384,High
65.0,63.8031,141.205169,High
65.0,59.650222,180.148897,High
65.0,58.568815,214.790246,High
65.0,55.691208,104.264617,High
65.0,54.760791,156.974557,High
65.0,53.862963,168.0657,High
65.0,52.397389,131.353165,High
65.0,44.806783,48.16415,High
65.0,43.545364,43.545364,High
65.0,43.48227,221.297061,High
65.0,42.345531,240.647629,High
65.0,41.657076,152.255188,High
65.0,39.017984,39.017984,High
65.0,37.030102,100.820947,High
65.0,36.316032,72.516819,High
65.0,33.447612,33.447612,High
65.0,32.598931,62.761005,High
65.0,26.900336,38.253433,High
65.0,26.900336,38.253433,High
65.0,24.409722,56.824633,High
65.0,19.551067,41.636243,High
65.0,19.07529,74.57529,High
65.0,17.218916,17.218916,High
65.0,13.757804,40.650842,High
65.0,10.378555,21.774432,High
65.0,10.014234,10.014234,High
65.0,2.07092,26.67092,High
64.0,58.636047,101.636047,High
64.0,48.947356,78.418101,High
64.0,31.054924,63.2,High
63.7,2.223293,133.603463,High
63.0,402.523348,1045.573035,High
63.0,213.117789,296.338663,High
63.0,108.085305,188.494082,High
63.0,36.249674,68.31014,High
63.0,25.052,25.052,High
62.0,122.012656,207.5,High
62.0,77.08603,127.63003,High
62.0,60.022813,107.822813,High
62.0,54.117416,151.813358,High
62.0,32.235793,40.159017,High
62.0,15.738632,18.708848,High
61.0,167.767189,367.160781,High
61.0,81.697192,310.566162,High
61.0,75.61246,132.493015,High
61.0,58.032443,265.878536,High
60.0,279.167575,516.567575,High
60.0,257.784718,468.084718,High
60.0,168.213584,253.555383,High
60.0,143.153751,247.812011,High
60.0,136.801374,290.701374,High
60.0,125.618201,264.118201,High
60.0,125.070033,238.524556,High
60.0,121.46896,214.357371,High
60.0,109.20566,172.450423,High
60.0,106.126012,176.262839,High
60.0,104.148781,164.285587,High
60.0,101.413188,218.613188,High
60.0,100.170152,217.602967,High
60.0,93.375151,200.7,High
60.0,93.354918,199.043309,High
60.0,90.757863,152.457863,High
60.0,90.58,165.890634,High
60.0,88.200225,170.200225,High
60.0,82.670733,157.670733,High
60.0,82.571173,135.01533,High
60.0,80.57401,206.598789,High
60.0,80.070736,217.370736,High
60.0,77.906816,130.968579,High
60.0,75.764085,124.715863,High
60.0,75.658097,137.551591,High
60.0,75.530832,100.230832,High
60.0,75.383563,186.883563,High
60.0,75.286229,126.037057,High
60.0,74.541707,102.332848,High
60.0,73.648228,165.048228,High
60.0,68.275985,172.072232,High
60.0,66.723216,90.558582,High
60.0,64.506874,162.778384,High
60.0,62.52426,195.194085,High
60.0,61.322858,71.719931,High
60.0,61.123569,87.123569,High
60.0,60.592389,129.832389,High
60.0,59.623958,99.823958,High
60.0,58.697076,159.946489,High
60.0,58.060186,175.863783,High
60.0,57.833603,57.833603,High
60.0,56.709981,56.709981,High
60.0,56.451232,101.134059,High
60.0,56.003051,108.119662,High
60.0,54.956941,159.356941,High
60.0,53.789313,98.819789,High
60.0,51.045801,100.645801,High
60.0,50.877145,90.482317,High
60.0,50.837305,111.898741,High
60.0,50.586,104.429625,High
60.0,50.577412,131.377412,High
